ID,Date,Alp,TL,BTL,P1,Problem 2 Icon,P3,AddCon
20566,2/2/2019 0:00,Moderate,Moderate,Low,PersistentSlabs.png,NOICON.gif,,NOICON.gif
20567,2/3/2019 0:00,Considerable,Moderate,Low,PersistentSlabs.png,WindSlabs.png,,Glide.png
20568,2/4/2019 0:00,Moderate,Moderate,Low,PersistentSlabs.png,WindSlabs.png,,Glide.png
20569,2/5/2019 0:00,Moderate,Moderate,Low,PersistentSlabs.png,WindSlabs.png,,Glide.png
20570,2/6/2019 0:00,Moderate,Moderate,Low,PersistentSlabs.png,WindSlabs.png,,Glide.png
20571,2/7/2019 0:00,Moderate,Moderate,Low,PersistentSlabs.png,Cornice.png,,Glide.png
20572,2/8/2019 0:00,Moderate,Moderate,Low,PersistentSlabs.png,LooseWet.png,,Glide.png
20573,2/9/2019 0:00,Moderate,Moderate,Low,PersistentSlabs.png,Cornice.png,,Glide.png
20574,2/10/2019 0:00,Moderate,Moderate,Low,WindSlabs.png,PersistentSlabs.png,,Glide.png
20575,2/11/2019 0:00,Moderate,Moderate,Low,WindSlabs.png,PersistentSlabs.png,,Glide.png
20576,2/12/2019 0:00,Moderate,Moderate,Low,WindSlabs.png,PersistentSlabs.png,,Glide.png
20577,2/13/2019 0:00,Moderate,Moderate,Low,WindSlabs.png,PersistentSlabs.png,,Glide.png
20578,2/14/2019 0:00,Moderate,Moderate,Low,WindSlabs.png,PersistentSlabs.png,,Glide.png
20579,2/15/2019 0:00,Moderate,Moderate,Low,WindSlabs.png,PersistentSlabs.png,,Glide.png
20580,2/16/2019 0:00,Moderate,Moderate,Moderate,StormSlabs.png,PersistentSlabs.png,,Glide.png
20581,2/17/2019 0:00,Considerable,Considerable,Considerable,StormSlabs.png,PersistentSlabs.png,,Glide.png
20582,2/18/2019 0:00,Considerable,Considerable,Moderate,StormSlabs.png,PersistentSlabs.png,,Glide.png
20583,2/19/2019 0:00,Moderate,Moderate,Moderate,WindSlabs.png,PersistentSlabs.png,,Glide.png
20584,2/20/2019 0:00,Moderate,Moderate,Moderate,WindSlabs.png,PersistentSlabs.png,,Glide.png
20585,2/21/2019 0:00,Considerable,Moderate,Moderate,WindSlabs.png,PersistentSlabs.png,,Glide.png
20586,2/22/2019 0:00,Considerable,Moderate,Moderate,WindSlabs.png,PersistentSlabs.png,,Glide.png
20587,2/23/2019 0:00,Moderate,Moderate,Low,WindSlabs.png,PersistentSlabs.png,,Glide.png
20588,2/24/2019 0:00,Moderate,Low,Low,PersistentSlabs.png,NOICON.gif,,Glide.png
20589,2/25/2019 0:00,Moderate,Low,Low,PersistentSlabs.png,NOICON.gif,,Glide.png
20590,2/26/2019 0:00,Moderate,Low,Low,PersistentSlabs.png,NOICON.gif,,Glide.png
20591,2/27/2019 0:00,Low,Low,Low,icon-low.gif,NOICON.gif,,PersistentSlabs.png
20592,2/28/2019 0:00,Low,Low,Low,icon-low.gif,NOICON.gif,,PersistentSlabs.png
20593,3/1/2019 0:00,Moderate,Moderate,Low,LooseWet.png,NOICON.gif,,PersistentSlabs.png
20594,3/2/2019 0:00,Low,Low,Low,icon-low.gif,NOICON.gif,,PersistentSlabs.png
20595,3/3/2019 0:00,Low,Low,Low,icon-low.gif,NOICON.gif,,PersistentSlabs.png
20596,3/4/2019 0:00,Low,Low,Low,icon-low.gif,NOICON.gif,,PersistentSlabs.png
20597,3/5/2019 0:00,Low,Low,Low,icon-low.gif,NOICON.gif,,NOICON.gif
20598,3/6/2019 0:00,Low,Low,Low,icon-low.gif,NOICON.gif,,NOICON.gif
20599,3/7/2019 0:00,Low,Low,Low,WindSlabs.png,NOICON.gif,,NOICON.gif
20600,3/8/2019 0:00,Considerable,Considerable,Considerable,StormSlabs.png,NOICON.gif,,Glide.png
20601,3/9/2019 0:00,High,High,Considerable,StormSlabs.png,NOICON.gif,,NOICON.gif
20602,3/10/2019 0:00,High,Considerable,Considerable,StormSlabs.png,NOICON.gif,,NOICON.gif
20603,3/11/2019 0:00,Considerable,Considerable,Considerable,StormSlabs.png,NOICON.gif,,NOICON.gif
20604,3/12/2019 0:00,Considerable,Moderate,Moderate,PersistentSlabs.png,LooseWet.png,,Cornice.png
20605,3/13/2019 0:00,High,High,Considerable,StormSlabs.png,NOICON.gif,,NOICON.gif
20606,3/14/2019 0:00,High,High,High,StormSlabs.png,NOICON.gif,,NOICON.gif
20607,3/15/2019 0:00,High,High,High,StormSlabs.png,NOICON.gif,,NOICON.gif
20608,3/16/2019 0:00,High,High,High,StormSlabs.png,NOICON.gif,,NOICON.gif
20609,3/17/2019 0:00,High,High,High,StormSlabs.png,NOICON.gif,,NOICON.gif
20610,3/18/2019 0:00,High,High,High,StormSlabs.png,NOICON.gif,,NOICON.gif
20611,3/19/2019 0:00,Considerable,Considerable,Considerable,StormSlabs.png,NOICON.gif,,Cornice.png
20612,3/20/2019 0:00,High,High,High,StormSlabs.png,NOICON.gif,,NOICON.gif
20613,3/21/2019 0:00,High,High,High,WetSlabs.png,NOICON.gif,,Glide.png
20614,3/22/2019 0:00,High,High,High,WetSlabs.png,NOICON.gif,,Glide.png
20615,3/23/2019 0:00,High,High,High,WetSlabs.png,NOICON.gif,,NOICON.gif
20616,3/24/2019 0:00,High,High,High,WetSlabs.png,NOICON.gif,,NOICON.gif
20617,3/25/2019 0:00,High,High,High,WetSlabs.png,DeepPersistentSlabs.png,,Cornice.png
20618,3/26/2019 0:00,Moderate,Moderate,Moderate,LooseWet.png,DeepPersistentSlabs.png,,Glide.png
20619,3/27/2019 0:00,Considerable,Moderate,Moderate,LooseWet.png,DeepPersistentSlabs.png,,Glide.png
20620,3/28/2019 0:00,Considerable,Considerable,Moderate,LooseWet.png,DeepPersistentSlabs.png,,Glide.png
20621,3/29/2019 0:00,Considerable,Considerable,Moderate,LooseWet.png,DeepPersistentSlabs.png,,Glide.png
20622,3/30/2019 0:00,Considerable,Considerable,Moderate,LooseWet.png,DeepPersistentSlabs.png,,Glide.png
20623,3/31/2019 0:00,Considerable,Considerable,Moderate,LooseWet.png,Glide.png,,DeepPersistentSlabs.png
