"Date","alp.pred","tl.pred","btl.pred","alp.ob","tl.ob","btl.ob","p1.pred","p2.pred","p3.pred","ac.pred","p1.ob","p2.ob"
2012-03-17,2,2,2,,,,"","",,,,
2012-03-18,2,2,2,,,,"","",,,,
2012-03-19,2,2,2,,,,"","",,,,
2012-03-20,2,2,2,,,,"","",,,,
2012-03-21,2,2,2,,,,"","",,,,
2012-03-22,2,2,2,,,,"","",,,,
2012-03-23,2,2,2,,,,"","",,,,
2012-03-24,2,2,2,,,,"","",,,,
2012-03-25,2,2,2,,,,"","",,,,
2012-03-26,2,2,2,,,,"","",,,,
2012-03-27,2,2,2,,,,"","",,,,
2012-03-28,2,2,2,,,,"","",,,,
2012-03-29,2,2,2,,,,"","",,,,
2012-03-30,2,2,2,,,,"","",,,,
2012-03-31,2,2,2,,,,"","",,,,
2012-04-01,2,2,2,,,,"","",,,,
2012-04-02,2,2,2,,,,"","",,,,
2012-04-03,2,2,2,,,,"","",,,,
2012-04-04,2,2,2,,,,"","",,,,
2012-04-05,2,2,2,,,,"","",,,,
2012-04-06,2,2,2,,,,"","",,,,
2012-04-07,2,2,2,,,,"","",,,,
2012-04-08,2,2,2,,,,"","",,,,
2012-04-09,2,2,2,,,,"","",,,,
2012-04-10,2,2,2,,,,"","",,,,
2012-04-11,2,2,2,,,,"","",,,,
2012-04-12,2,2,2,,,,"","",,,,
2012-04-13,3,3,3,,,,"","",,,,
2012-04-14,3,3,3,,,,"","",,,,
2012-04-15,3,3,3,,,,"","",,,,
2012-04-18,3,3,3,,,,"","",,,,
2012-04-21,2,2,2,,,,"","",,,,
2012-04-25,2,2,2,,,,"","",,,,
2012-04-28,2,2,2,,,,"","",,,,
2012-10-22,,,,,,,"","",,,,
2012-10-30,,,,,,,"","",,,,
2012-11-02,,,,,,,"","",,,,
2012-11-06,,,,,,,"","",,,,
2012-11-09,,,,,,,"","",,,,
2012-11-12,,,,,,,"","",,,,
2012-11-14,,,,,,,"","",,,,
2012-11-17,3,2,2,,,,"PS","",,,,
2012-11-18,3,2,2,,,,"PS","WdS",,,,
2012-11-20,3,2,2,,,,"PS","",,,,
2012-11-22,3,2,2,,,,"PS","WdS",,,,
2012-11-23,3,1,1,,,,"PS","",,,,
2012-11-24,2,1,1,,,,"PS","",,,,
2012-11-25,2,1,1,,,,"PS","",,,,
2012-11-27,2,1,1,,,,"PS","",,,,
2012-11-29,2,1,1,,,,"PS","WdS",,,,
2012-11-30,2,1,1,,,,"WdS","PS",,,,
2012-12-01,2,1,1,,,,"PS","",,,,
2012-12-02,2,1,1,,,,"PS","",,,,
2012-12-04,2,1,1,,,,"PS","",,,,
2012-12-05,2,1,1,,,,"PS","",,,,
2012-12-06,2,1,1,,,,"WdS","DL",,,,
2012-12-07,2,1,1,,,,"WdS","",,,,
2012-12-08,3,2,2,,,,"SS","PS",,,,
2012-12-09,3,3,3,,,,"WdS","SS",,,,
2012-12-10,3,2,2,,,,"WdS","SS",,,,
2012-12-11,2,1,1,,,,"WdS","",,,,
2012-12-12,3,2,2,,,,"WdS","SS",,,,
2012-12-13,3,2,2,,,,"WdS","DL",,,,
2012-12-14,3,2,2,,,,"WdS","PS",,,,
2012-12-15,2,2,2,,,,"WdS","PS",,,,
2012-12-16,2,1,1,,,,"WdS","PS",,,,
2012-12-17,2,1,1,,,,"PS","WdS",,,,
2012-12-18,2,1,1,,,,"PS","WdS",,,,
2012-12-19,2,1,1,,,,"PS","WdS",,,,
2012-12-20,2,1,1,,,,"PS","",,,,
2012-12-21,2,1,1,,,,"PS","",,,,
2012-12-22,2,1,1,,,,"PS","",,,,
2012-12-23,2,1,1,,,,"PS","",,,,
2012-12-24,3,3,3,,,,"WdS","SS",,,,
2012-12-25,4,4,4,,,,"WdS","SS",,,,
2012-12-26,4,4,4,,,,"WdS","SS",,,,
2012-12-27,4,4,4,,,,"SS","WdS",,,,
2012-12-28,4,3,3,,,,"SS","DS",,,,
2012-12-29,4,4,4,,,,"WdS","DS",,,,
2012-12-30,4,4,4,,,,"WL","DS",,,,
2012-12-31,4,4,4,,,,"DS","WL",,,,
2013-01-01,4,4,4,,,,"SS","DS",,,,
2013-01-02,3,3,3,,,,"DS","WdS",,,,
2013-01-03,4,3,3,,,,"DS","WdS",,,,
